Name,Org,Pos,Age,PA,AB,Pitches,xwOBA,wOBA,PS Score,Agg,Power,Discipline,xBA,xSLG,Barrels,BB%,Chase%,EV,Max EV,50th% EV,90th% EV,Hard Hit%,K%,L°,Whiff%,Swing%,Z-Swing%,Z-Contact%,SwStr%,Speed,wBsR/PA,Pull,Pull Air,Spd,wBsR,wBsR/PA,xBA,xSLG,Barrels,BB%,Chase%,EV,Max EV,50th% EV,90th% EV,Hard Hit%,K%,L°,Whiff%,Swing%,Z-Swing%,Z-Contact%,SwStr%,PullAir%,BA,OBP,SLG,BABIP,PA/Barrels,Barrels,BB,2B,3B,Hits,HR,K,Swings,Whiffs
Kemp Alderman,MIA,OF,23,155,138,605,0.9518072289156626,0.7168674698795181,0.9397590361445783,0.6171875,0.9798192771084338,0.2685025817555938,0.8765060240963856,0.9789156626506024,0.9548192771084337,0.19728915662650603,0.3192771084337349,1,0.9683734939759037,0.9984939759036144,0.9849397590361446,0.9969879518072289,0.10542168674698796,0.44879518072289154,0.17018072289156627,0.8854545454545455,0.8945783132530121,0.12650602409638553,0.06626506024096386,0.8192771084337349,0.641566265060241,0.3389570552147239,0.5904907975460123,6.65428,0.19592,0.001264,.277,.561,17.2,7.7,30.175438596491226,96,114.6,100.6,109.8,64.4,32.9,11.5,34.1,52.892561983471076,73.125,74.35897435897436,18.016528925619834,17.2,.290,.368,.486,.412,9.677419354838712,15,12,4,1,40,7,51,320,109
Sterlin Thompson,COL,OF,24,156,122,585,0.9322289156626506,0.9533132530120482,0.9367469879518072,0.7317394578313253,0.6789156626506024,0.7631239242685026,0.8689759036144579,0.7409638554216867,0.5406626506024096,0.9292168674698795,0.9849397590361446,0.7846385542168675,0.5301204819277109,0.7394578313253012,0.8283132530120482,0.7981927710843374,0.7620481927710844,0.5195783132530121,0.6716867469879518,0.4109090909090909,0.8704819277108434,0.4578313253012048,0.6656626506024096,0.6506024096385542,0.16265060240963855,0.3880368098159509,0.5766871165644172,5.5945599999999995,"'-0.874698","'-0.005607038461538461",.274,.413,6.5,18.6,15.463917525773196,90.8,109,92.5,106.3,47.3,17.9,12.7,23.7,43.931623931623925,72.10884353741497,80.66037735849056,10.427350427350428,17,.344,.487,.500,.422,3.8461538461538463,6,29,5,1,42,4,28,257,61
Cooper Ingle,CLE,C,24,85,62,395,0.9698795180722891,0.9969879518072289,0.9337349397590361,0.6858998493975903,0.7340361445783132,0.6376936316695352,0.7801204819277109,0.8087349397590361,0.7876506024096386,0.9969879518072289,0.9939759036144579,0.7575301204819277,0.338855421686747,0.9759036144578314,0.29819277108433734,0.9774096385542169,0.42319277108433734,0.7439759036144579,0.516566265060241,0.01090909090909091,0.006024096385542169,0.608433734939759,0.9186746987951807,0.3463855421686747,0.4759036144578313,0.32515337423312884,0.5828220858895705,3.6226199999999995,"'-0.0639825","'-0.0007527352941176469",.261,.434,10,25.9,13.242009132420089,90.6,107.2,97,101.8,57.5,24.7,15.9,26.7,26.58227848101265,43.18181818181818,82.89473684210526,7.088607594936709,17.1,.339,.518,.629,.444,4.705882352941177,4,22,3,0,21,5,21,105,28
Nick Morabito,NYM,OF,23,152,126,635,0.7033132530120482,0.44879518072289154,0.9307228915662651,0.5921498493975904,0.6153614457831326,0.6049913941480207,0.5301204819277109,0.7153614457831325,0.7259036144578314,0.5948795180722891,0.8072289156626506,0.42620481927710846,0.7168674698795181,0.5391566265060241,0.5271084337349398,0.4924698795180723,0.44126506024096385,0.1280120481927711,0.6897590361445783,0.1781818181818182,0.2545180722891566,0.6731927710843374,0.7740963855421686,0.8012048192771084,0.9246987951807228,0.11809815950920245,0.2147239263803681,6.5896300000000005,1.50715,0.009915460526315787,.236,.406,8.8,12.5,21.580547112462007,88.1,110.4,90.8,103.6,38.5,24.3,5.3,23.3,39.84251968503937,59.47712418300654,84.61538461538461,9.291338582677165,10.6,.238,.358,.381,.302,5.263157894736842,8,19,6,0,30,4,37,253,59
Cooper Pratt,MIL,SS,21,147,121,562,0.5993975903614458,0.28012048192771083,0.927710843373494,0.5916792168674698,0.37740963855421683,0.7271944922547334,0.6731927710843374,0.3704819277108434,0.2183734939759036,0.8012048192771084,0.6506024096385542,0.17319277108433734,0.6445783132530121,0.3042168674698795,0.2710843373493976,0.48042168674698793,0.9141566265060241,0.30120481927710846,0.8614457831325302,0.2490909090909091,0.19578313253012047,0.8057228915662651,0.8614457831325302,0.9156626506024096,0.9156626506024096,0.299079754601227,0.10429447852760736,7.66483,1.40325,0.00954591836734694,.249,.337,2.9,15.6,24.548736462093864,86,109.9,88.9,101.6,38.2,13.6,9,19.4,41.281138790035584,57.54385964912281,87.1951219512195,8.007117437722421,7.6,.207,.340,.314,.230,2.0408163265306123,3,23,3,2,25,2,20,232,45
Blaze Jordan,STL,1B/3B,23,149,135,511,0.6822289156626506,0.8539156626506024,0.9246987951807228,0.6367658132530121,0.775301204819277,0.6299483648881239,0.8539156626506024,0.7771084337349398,0.5873493975903614,0.22439759036144577,0.08734939759036145,0.8418674698795181,0.9382530120481928,0.8177710843373494,0.9322289156626506,0.7319277108433735,0.9307228915662651,0.1822289156626506,0.8418674698795181,0.94,0.9156626506024096,0.7981927710843374,0.6114457831325302,0.18373493975903615,0.1716867469879518,0.7223926380368099,0.7576687116564417,2.58772,"'-0.826852","'-0.005549342281879195",.271,.422,7,8.1,37.06563706563706,91.5,113.3,93.7,107.9,45.2,12.8,6.9,19.9,55.18590998043053,73.80952380952381,87.09677419354837,10.958904109589039,20.7,.311,.376,.563,.315,5.369127516778524,8,12,10,0,42,8,19,282,56
Héctor Rodríguez,CIN,OF,22,189,166,710,0.5195783132530121,0.44879518072289154,0.9216867469879518,0.5733245481927711,0.6551204819277109,0.49569707401032703,0.6280120481927711,0.6792168674698795,0.6234939759036144,0.3960843373493976,0.12048192771084337,0.4789156626506024,0.8674698795180723,0.5978915662650602,0.8463855421686747,0.6265060240963856,0.8057228915662651,0.5903614457831325,0.7259036144578314,0.5618181818181818,0.16265060240963855,0.5903614457831325,0.6686746987951807,0.6897590361445783,0.4307228915662651,0.6779141104294478,0.6349693251533742,5.7847599999999995,"'-0.23341199999999998","'-0.001234984126984127",.247,.395,7.4,10.1,35.46511627906977,88.5,112.2,91.3,106.5,42.2,16.9,13.3,22.4,46.478873239436616,56.830601092896174,82.69230769230771,10.422535211267606,18,.253,.328,.440,.269,5.291005291005291,10,19,6,2,42,7,32,330,74
Charlie Condon,COL,1B/OF,23,158,127,621,0.6897590361445783,0.5015060240963856,0.9186746987951807,0.5095067771084337,0.5951807228915662,0.47783993115318424,0.40210843373493976,0.3825301204819277,0.5406626506024096,0.7771084337349398,0.9216867469879518,0.5587349397590361,0.8930722891566265,0.6521084337349398,0.7469879518072289,0.6009036144578314,0.4879518072289157,0.21536144578313254,0.2756024096385542,0.2,0.22289156626506024,0.21686746987951808,0.4427710843373494,0.5240963855421686,0.6746987951807228,0.7607361963190185,0.7101226993865031,5.08473,0.273733,0.001732487341772152,.226,.339,6.5,15.2,18.75,89,112.6,91.7,105.1,41.3,23.4,7.4,31.2,40.257648953301135,58.85885885885885,76.53061224489795,12.560386473429954,19.6,.236,.373,.370,.295,3.79746835443038,6,24,5,0,30,4,37,250,78
Max Clark,DET,OF,21,162,144,644,0.3177710843373494,0.30271084337349397,0.9156626506024096,0.5724774096385543,0.4346385542168674,0.6944922547332186,0.5963855421686747,0.3704819277108434,0.1822289156626506,0.3825301204819277,0.7153614457831325,0.40813253012048195,0.8012048192771084,0.3313253012048193,0.5466867469879518,0.411144578313253,0.8765060240963856,0.33433734939759036,0.9382530120481928,0.2536363636363637,0.0783132530120482,0.9307228915662651,0.9397590361445783,0.8765060240963856,0.8734939759036144,0.7116564417177914,0.5690184049079755,7.323760000000001,1.21059,0.007472777777777778,.244,.337,2.5,9.9,23.529411764705877,88,111.3,89.2,103.7,36.4,15.4,9.7,15.4,41.30434782608695,54.30107526881721,90.59405940594058,6.366459627329192,16.9,.257,.327,.361,.300,1.8518518518518519,3,16,10,1,37,1,25,266,41
Ryan Clifford,NYM,1B/OF,22,157,140,657,0.6295180722891566,0.40963855421686746,0.9126506024096386,0.5326618975903614,0.9210843373493975,0.2398881239242685,0.5,0.8539156626506024,0.8825301204819277,0.40813253012048195,0.37349397590361444,0.9804216867469879,0.9292168674698795,0.9713855421686747,0.9503012048192772,0.9593373493975904,0.045180722891566265,0.5903614457831325,0.13102409638554216,0.4881818181818182,0.3795180722891566,0.14006024096385541,0.20180722891566266,0.5180722891566265,0.21385542168674698,0.74079754601227,0.8619631901840491,4.988180000000001,"'-0.604854","'-0.003852573248407643",.234,.453,13.8,10.2,29.58579881656805,94.2,113.1,96.8,108.3,56.2,38.2,13.3,35,45.20547945205479,61.75548589341693,74.61928934010153,15.829528158295279,23.5,.236,.312,.443,.351,7.0063694267515935,11,16,6,1,33,7,60,297,104
