Name,Org,Pos,Age,PA,AB,Pitches,xwOBA,wOBA,PS Score,Agg,Power,Discipline,xBA,xSLG,Barrels,BB%,Chase%,EV,Max EV,50th% EV,90th% EV,Hard Hit%,K%,L°,Whiff%,Swing%,Z-Swing%,Z-Contact%,SwStr%,Speed,wBsR/PA,Pull,Pull Air,Spd,wBsR,wBsR/PA,xBA,xSLG,Barrels,BB%,Chase%,EV,Max EV,50th% EV,90th% EV,Hard Hit%,K%,L°,Whiff%,Swing%,Z-Swing%,Z-Contact%,SwStr%,PullAir%,BA,OBP,SLG,BABIP,PA/Barrels,Barrels,BB,2B,3B,Hits,HR,K,Swings,Whiffs
Dylan Beavers,BAL,OF,24,410,336,1739,0.9468503937007874,0.9084645669291339,0.9606299212598425,0.788570374015748,0.7478346456692913,0.7848706411698537,0.9153543307086615,0.8917322834645669,0.7096456692913385,0.9271653543307087,0.90748031496063,0.7263779527559056,0.7706692913385826,0.5049212598425197,0.7490157480314961,0.640748031496063,0.7480314960629921,0.7696850393700787,0.8661417322834646,0.17245240761478164,0.36023622047244097,0.781496062992126,0.9035433070866141,0.7519685039370079,0.7480314960629921,0.3359683794466403,0.6452569169960475,6.48456,1.12711,0.002749048780487805,.271,.457,9.3,16.3,20.423280423280424,89.7,111.6,90.6,105.4,41.3,18.5,16.6,19.7,40.943070730304775,65.36523929471034,86.70520231213871,8.050603795284646,18.8,.301,.417,.515,.337,5.853658536585367,24,67,14,2,101,18,76,712,140
Bryce Eldridge,SFG,1B/DH,21,283,253,1165,0.9133858267716536,0.6122047244094488,0.9586614173228346,0.5954724409448819,0.9759842519685039,0.32142857142857145,0.8474409448818898,0.9586614173228346,0.9665354330708661,0.3248031496062992,0.43700787401574803,0.9940944881889764,0.9625984251968503,0.9862204724409449,0.9557086614173228,0.9980314960629921,0.12401574803149606,0.5462598425196851,0.1673228346456693,0.458006718924972,0.515748031496063,0.47244094488188976,0.20866141732283464,0.09055118110236221,0.5177165354330708,0.30138339920948615,0.2183794466403162,1.7507700000000002,"'-0.23375900000000002","'-0.0008260035335689046",.260,.524,16.8,8.8,29.223744292237438,95.7,114.6,98,108.4,63.5,31.1,13.2,33.7,46.09442060085836,67.91338582677166,81.73913043478261,15.536480686695278,11.8,.249,.314,.514,.298,9.89399293286219,28,25,13,0,63,18,88,537,181
Jonathon Long,CHC,1B,24,606,513,2581,0.8956692913385826,0.8326771653543307,0.9566929133858267,0.6914985236220472,0.818503937007874,0.6666197975253093,0.8110236220472441,0.8543307086614174,0.7578740157480315,0.7529527559055118,0.7598425196850394,0.8562992125984252,0.7706692913385826,0.8494094488188977,0.8001968503937008,0.8533464566929134,0.7253937007874016,0.3346456692913386,0.7746062992125984,0.1713325867861142,0.09251968503937008,0.7263779527559056,0.8346456692913385,0.2637795275590551,0.29133858267716534,0.16403162055335968,0.16996047430830039,3.4232099999999996,"'-1.28336","'-0.0021177557755775573",.256,.445,10.1,13,24.408284023668642,90.9,111.6,93.7,105.9,47.1,19.1,10.3,22.2,40.91437427353739,59.07241659886086,85.39944903581268,9.06625339015885,10.5,.304,.403,.478,.357,6.6006600660066,40,79,23,3,156,20,116,1056,234
Walker Jenkins,MIN,OF,21,102,91,403,0.8297244094488189,0.3484251968503937,0.9547244094488189,0.631213090551181,0.7732283464566929,0.45120922384701917,0.656496062992126,0.9173228346456693,0.9517716535433071,0.3248031496062992,0.19094488188976377,0.6348425196850394,0.6151574803149606,0.6446850393700787,0.5511811023622047,0.7470472440944882,0.4202755905511811,0.6830708661417323,0.6062992125984252,0.7659574468085106,0.6909448818897638,0.44881889763779526,0.4763779527559055,0.905511811023622,0.8740157480314961,0.35177865612648224,0.5069169960474308,7.61345,0.596982,0.005852764705882353,.241,.477,15.6,8.8,33.789954337899545,89.1,110.1,91.5,103.7,43.8,25.5,14.9,25.5,50.62034739454094,70.65217391304348,81.53846153846153,12.903225806451614,16.7,.242,.324,.396,.317,9.803921568627453,10,9,6,1,22,2,26,204,52
Jordan Lawlar,ARI,3B/SS,23,288,250,1239,0.7135826771653543,0.9429133858267716,0.952755905511811,0.6697834645669292,0.7478346456692913,0.5714285714285715,0.6663385826771654,0.7273622047244095,0.7854330708661418,0.6909448818897638,0.7224409448818898,0.5807086614173228,0.9035433070866141,0.7933070866141733,0.5895669291338582,0.7421259842519685,0.48326771653543305,0.6368110236220472,0.5108267716535433,0.3376259798432251,0.4035433070866142,0.6122047244094488,0.5767716535433071,0.9606299212598425,0.8858267716535433,0.8379446640316206,0.8745059288537549,8.2761,1.84133,0.006393506944444444,.242,.400,10.5,12.2,25.112781954887215,88.8,113.3,93,104,43.6,24,14.3,27.3,44.067796610169495,66.02787456445994,83.64116094986808,12.025827280064568,24.3,.320,.410,.580,.406,6.597222222222222,19,35,22,5,80,11,69,546,149
Harry Ford,WSN,C,23,457,373,1914,0.8533464566929134,0.8238188976377953,0.9507874015748031,0.6435777559055118,0.6330708661417322,0.7252530933633295,0.6663385826771654,0.7578740157480315,0.6702755905511811,0.922244094488189,0.9803149606299213,0.5807086614173228,0.47834645669291337,0.78248031496063,0.4940944881889764,0.6781496062992126,0.7303149606299213,0.30118110236220474,0.7234251968503937,0.1265397536394177,0.3484251968503937,0.5551181102362205,0.8169291338582677,0.234251968503937,0.14173228346456693,0.4160079051383399,0.35375494071146246,3.17915,"'-1.81477","'-0.003971050328227571",.242,.409,8.7,16.2,17.46810598626104,88.8,109.3,92.9,103.4,41.9,19,9.8,23.2,39.811912225705335,65.25139664804469,82.87671232876713,9.247648902821316,14.2,.284,.409,.461,.330,5.4704595185995615,25,74,18,0,106,16,87,762,177
Yohendrick Pinango,TOR,OF,23,341,293,1444,0.6072834645669292,0.3484251968503937,0.9488188976377953,0.6614788385826772,0.7454724409448819,0.6833520809898762,0.6210629921259843,0.5688976377952756,0.3937007874015748,0.7362204724409449,0.702755905511811,0.922244094488189,0.9724409448818898,0.8287401574803149,0.96751968503937,0.8700787401574803,0.7253937007874016,0.6161417322834646,0.8533464566929134,0.14893617021276595,0.051181102362204724,0.8149606299212598,0.8996062992125984,0.2283464566929134,0.41338582677165353,0.4990118577075099,0.5454545454545454,3.1339099999999998,"'-0.53594","'-0.0015716715542521994",.239,.366,5.2,12.6,25.523560209424087,91.9,115.4,93.5,108.8,47.8,19.1,14.1,20.2,40.443213296398895,57.20588235294117,87.14652956298201,8.171745152354571,17.4,.235,.335,.379,.278,3.5190615835777126,12,43,19,1,69,7,65,584,118
Nick Kurtz,ATH,1B,23,96,84,405,0.9606299212598425,0.9537401574803149,0.9468503937007874,0.6165723425196851,0.9204724409448819,0.37654668166479194,0.9005905511811023,0.9901574803149606,0.9921259842519685,0.39665354330708663,0.7106299212598425,0.9921259842519685,0.6624015748031497,0.9783464566929134,0.9251968503937008,0.9655511811023622,0.31791338582677164,0.6692913385826772,0.2952755905511811,0.19036954087346025,0.13188976377952755,0.30118110236220474,0.4822834645669291,0.09645669291338582,0.3858267716535433,0.5266798418972332,0.40217391304347827,1.80952,"'-0.164529","'-0.00171384375",.268,.603,23,9.4,25.45454545454545,95.1,110.5,97.4,107.7,57.4,27.1,14.7,31,41.481481481481474,60.54054054054054,79.46428571428571,12.839506172839506,15,.321,.379,.655,.377,14.583333333333336,14,9,7,0,27,7,26,168,52
Adael Amador,COL,2B,23,370,314,1430,0.6761811023622047,0.84251968503937,0.9448818897637795,0.6518208661417322,0.47696850393700785,0.8256467941507312,0.7736220472440944,0.4596456692913386,0.2204724409448819,0.7844488188976378,0.7992125984251969,0.35236220472440943,0.702755905511811,0.6663385826771654,0.4744094488188976,0.6496062992125984,0.9281496062992126,0.20078740157480315,0.9468503937007874,0.2777155655095185,0.4881889763779528,0.8838582677165354,0.9488188976377953,0.6141732283464567,0.1220472440944882,0.7697628458498024,0.43379446640316205,5.71959,"'-1.55615","'-0.004205810810810811",.251,.350,3,13.5,23.544303797468356,87.3,110.8,91.7,103.3,41.4,12.7,8.1,16.5,43.146853146853154,67.34375,89.32714617169373,7.1328671328671325,15.6,.303,.405,.478,.327,2.1621621621621623,8,50,16,3,95,11,47,617,102
Kahlil Watson,CLE,SS/OF,23,176,149,661,0.6761811023622047,0.6840551181102362,0.9429133858267716,0.5537647637795275,0.8088582677165356,0.3302868391451068,0.38188976377952755,0.7578740157480315,0.797244094488189,0.7244094488188977,0.21751968503937008,0.8700787401574803,0.7263779527559056,0.9025590551181102,0.6456692913385826,0.8927165354330708,0.3425196850393701,0.7096456692913385,0.11023622047244094,0.658454647256439,0.6299212598425197,0.18700787401574803,0.10039370078740158,0.7362204724409449,0.8090551181102362,0.8616600790513834,0.8003952569169961,6.41397,0.6869770000000001,0.003903278409090909,.220,.409,10.8,12.5,33.33333333333333,91.1,111,94.7,104.4,49,26.7,15.4,35.2,49.01664145234494,69.5804195804196,77.38693467336684,17.246596066565807,22.1,.255,.358,.477,.313,6.25,11,22,7,1,38,8,47,324,114
