Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Brett Sears","ATL",0,0,0,5.33708,1,1,0,0,,4.8348,20,5,3,3,1,2,0,0,3,6.48283,2.92863,2.2136,1.59985,0.173978,0.0785949,0.09538289159536362,0.267709,1.33459,0.28953,0.632662,,,5.11706,0.0094687,0.00654566,999,,,,,,,10.477542972564695,2.167108514311171,11.174015522003174,2.3111624777092974,,,,,,,,,,,,,,,,,,,"Brett Sears","sa3041892",822412
"Cole Tolbert","BOS",0,0,0,4.99381,1,1,0,0,,2.07542,10,2,1,1,0,1,0,0,2,7.84017,4.68346,1.67401,1.26914,0.182728,0.109156,0.07357216626405716,0.263894,1.62615,0.303567,0.714001,,,4.95759,0.00930454,0.0321084,999,,,,,,,11.158098459243778,5.376311971011394,11.37709355354309,5.4818304830925255,,,,,,,,,,,,,,,,,,,"Cole Tolbert","sa3025352",824613
"Wellington Aracena","ARI",0,0,0,4.88586,1,1,0,0,,3.46314,15,3,2,2,0,2,0,0,3,7.32003,5.37373,1.36219,0.971615,0.1925,0.141317,0.05118332803249359,0.249581,1.48889,0.295577,0.669748,,,4.86757,0.00925104,0.0196498,999,,,,,,,17.827230787277223,5.147708268633714,17.315696477890015,5,,,,,,,,,,,,,,,,,,,"Wellington Aracena","sa3019265",800286
"Xavier Rivas","NYY",0,0,0,5.03386,1,1,0,0,,4.08026,18,4,2,2,1,2,0,0,4,8.02214,5.18588,1.54692,1.40472,0.20681,0.133691,0.07311853766441345,0.236951,1.44794,0.271954,0.680841,,,5.27458,0.00921547,0.0490371,999,,,,,,,9.493950748443604,2.326798375072003,9.401318073272705,2.3040957548691803,,,,,,,,,,,,,,,,,,,"Xavier Rivas","sa3040812",814392
"Drue Hackenberg","ATL",0,0,0,5.01255,1,1,0,0,,4.31957,19,4,3,2,1,2,0,0,3,6.99452,4.92872,1.41914,1.10568,0.175199,0.123455,0.05174427479505539,0.259404,1.54202,0.297115,0.681528,,,4.98558,0.00919507,-0.0237723,999,,,,,,,9.264850234985348,2.1448525876042788,8.597871780395508,1.9904442131654465,,,,,,,,,,,,,,,,,,,"Drue Hackenberg","sa3023304",802357
"AJ Smith-Shawver","ATL",0,0,0,3.85569,6,0,0,0,,6,26,5,3,3,1,2,,0,6,9.84216,3.5513,2.77143,1.11612,0.251948,0.0909091,0.16103896498680115,0.232759,1.30778,0.291667,0.735586,,,3.81157,0.00918543,0.000503658,999,,,,,,,25.10000000000001,4.1833333333333345,23,3.8333333333333335,,,,,,,,,,,,,,,,,,,"AJ Smith-Shawver","29960",700363
"Grant Umberger","CHW",0,0,0,5.41276,1,1,0,0,,4.1439,18,4,3,2,1,2,0,0,3,5.55055,3.66197,1.51573,1.43831,0.14338,0.0945946,0.04878517985343933,0.269854,1.44456,0.286062,0.645204,,,5.3474,0.00917626,-0.0404741,999,,,,,,,7.964880561828609,1.9220722558724026,7.719513893127441,1.8628607632749448,,,,,,,,,,,,,,,,,,,"Grant Umberger","sa3067156",802359
"Drew Beam","KCR",0,0,0,5.6285,1,1,0,0,,4.91615,20,5,3,3,1,2,0,0,2,4.56738,3.00168,1.52161,1.34557,0.122576,0.0805567,0.04201892763376236,0.287323,1.41422,0.299971,0.606817,,,5.20056,0.0090206,0.0117667,999,,,,,,,9.079510688781742,1.8468741834315987,9.580750465393066,1.9488319689184603,,,,,,,,,,,,,,,,,,,"Drew Beam","sa3026785",701795
"Hancel Rincon","STL",0,0,0,5.26361,1,1,0,0,,4.92901,21,5,3,3,1,2,0,0,3,5.60465,3.22841,1.73604,1.38867,0.149106,0.0858886,0.06321761012077332,0.270146,1.37749,0.28872,0.636013,,,5.11129,0.00895081,0.00463023,999,,,,,,,11.174694538116459,2.2671263085053934,11.645063877105713,2.3625550201806367,,,,,,,,,,,,,,,,,,,"Hancel Rincon","sa3009629",684516
"Austin Emener","COL",0,0,0,5.90246,1,1,0,0,,3.59567,15,4,3,2,1,2,0,0,3,6.82966,4.05587,1.68389,1.60184,0.178459,0.10598,0.07247903943061829,0.274972,1.48218,0.303261,0.621143,,,5.43377,0.00889607,-0.0342571,999,,,,,,,3.907994937896733,1.0868598933490998,4.97837495803833,1.3845453133717305,,,,,,,,,,,,,,,,,,,"Austin Emener","sa3022799",815305
