Name,Org,Savant_Level,Player_Type,Pos,Age,PA,Pitches,PS Score,xwOBA,wOBA,Evidence_Score,Confidence,Confidence_Label,Pipeline_Rank,Composite_Rank,MLBAMID,Composite_MLBAMID,Prior_Value,Prospect_Update,Updated_Prospect_Value,Avg_Salary,Last10_Salary,Roster%,Match_Status,Savant_File
Ronny Simon,PIT,AAA,hitter,2B/OF,26,148,567,0.699,0.660,0.744,0.687,0.927,High,,,,,0.000,1.388,1.388,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
Josh White,MIA,AAA,pitcher,SP,25,75,327,0.761,0.281,0.263,0.668,0.654,High,,591.000,,687985,0.500,0.880,1.380,0.000,0.000,0.000,name_org,AAA_pitchers_YTD_5_14.csv
Hancel Rincon,STL,AAA,pitcher,SP,24,90,363,0.930,0.315,0.390,0.724,0.770,High,,,,,0.000,1.377,1.377,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Reinold Navarro,PIT,A,pitcher,SP,19,75,355,0.950,0.308,0.345,0.748,0.437,Medium,,629.000,,821116,0.500,0.867,1.367,0.000,0.000,0.000,name_org,A_pitchers_YTD_5_14.csv
Levi Sterling,PIT,A,pitcher,SP,19,112,413,0.881,0.302,0.337,0.712,0.509,Medium,,809.000,,815552,0.500,0.864,1.364,0.000,0.000,0.000,name_org,A_pitchers_YTD_5_14.csv
José Fermin,LAA,AAA,pitcher,RP,24,50,204,0.937,0.302,0.312,0.749,0.432,Medium,,865.000,,820862,0.500,0.862,1.362,0.000,0.000,0.000,name_org,AAA_pitchers_YTD_5_14.csv
Dom Keegan,TBR,AAA,hitter,C,25,133,557,0.744,0.565,0.566,0.690,0.887,High,,,,,0.000,1.349,1.349,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
Seth Halvorsen,COL,AAA,pitcher,RP,26,61,270,0.892,0.234,0.281,0.828,0.508,Medium,,,,,0.000,1.332,1.332,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Jacob Amaya,ARI,AAA,hitter,SS,27,120,508,0.633,0.979,0.795,0.736,0.704,High,,,,,0.000,1.332,1.332,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
Drew Sommers,DET,AAA,pitcher,RP,25,77,325,0.716,0.268,0.289,0.660,0.650,High,,955.000,,805427,0.500,0.830,1.330,0.000,0.000,0.000,name_org,AAA_pitchers_YTD_5_14.csv
Nate Payne,MIA,A,pitcher,SP,20,57,235,0.994,0.245,0.290,0.877,0.274,Medium,,675.000,,827626,0.500,0.826,1.326,0.000,0.000,0.000,name_org,A_pitchers_YTD_5_14.csv
Ryan Ward,LAD,AAA,hitter,1B,28,162,695,0.524,0.861,0.822,0.625,0.820,High,,658.000,,669899,0.500,0.822,1.322,0.000,0.000,0.000,name_org,AAA_hitters_YTD_5_14.csv
Andrew Morris,MIN,AAA,pitcher,SP,24,27,126,0.585,0.191,0.200,0.697,0.267,Medium,,488.000,,702193,0.900,0.421,1.321,1.000,1.000,0.699,name_org,AAA_pitchers_YTD_5_14.csv
Ty Madden,DET,AAA,pitcher,SP,26,93,374,0.540,0.321,0.357,0.461,0.703,High,,893.000,,680744,1.530,-0.220,1.310,1.500,2.000,1.399,name_org,AAA_pitchers_YTD_5_14.csv
Christian Encarnacion-Strand,BAL,AAA,hitter,1B,26,137,483,0.627,0.839,0.645,0.690,0.859,High,,,,,0.000,1.306,1.306,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
Brando Mayea,NYY,A,hitter,OF,20,122,456,0.777,0.540,0.306,0.706,0.474,Medium,,700.000,,806963,0.500,0.781,1.281,0.000,0.000,0.000,name_org,A_hitters_YTD_5_14.csv
Adam Macko,TOR,AAA,pitcher,RP,25,72,296,0.746,0.279,0.327,0.662,0.592,High,,902.000,,671936,0.500,0.766,1.266,0.000,0.000,0.000,name_org,AAA_pitchers_YTD_5_14.csv
Jud Fabian,BAL,AAA,hitter,OF,25,157,701,0.596,0.589,0.524,0.594,1.000,High,,962.000,,682983,0.500,0.753,1.253,0.000,0.000,0.000,name_org,AAA_hitters_YTD_5_14.csv
Tate Kuehner,MIL,AAA,pitcher,SP,25,161,601,0.817,0.311,0.329,0.656,1.000,High,,,,,0.000,1.252,1.252,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Troy Taylor,SEA,AAA,pitcher,RP,24,70,287,0.832,0.254,0.316,0.757,0.608,High,,,,,0.000,1.251,1.251,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Robby Ahlstrom,TEX,AAA,pitcher,RP,26,83,350,0.711,0.217,0.248,0.737,0.658,High,,,,,0.000,1.250,1.250,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
PJ Morlando,MIA,A,hitter,OF,20,118,513,0.734,0.633,0.572,0.704,0.459,Medium,,359.000,,703563,0.500,0.747,1.247,0.000,0.000,0.000,name_org,A_hitters_YTD_5_14.csv
Daniel Espino,CLE,AAA,pitcher,RP,25,56,243,0.849,0.304,0.334,0.689,0.486,Medium,,351.000,,682982,0.500,0.734,1.234,0.000,0.000,0.000,name_org,AAA_pitchers_YTD_5_14.csv
John Klein,MIN,AAA,pitcher,SP,24,102,450,0.814,0.308,0.399,0.660,0.954,High,,,,,0.000,1.218,1.218,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Kyle Hurt,LAD,AAA,pitcher,RP,27,26,118,0.673,0.352,0.393,0.498,0.208,Low,,902.000,,669165,1.197,-0.003,1.194,1.330,1.300,6.294,name_org,AAA_pitchers_YTD_5_14.csv
Petey Halpin,CLE,AAA,hitter,OF,23,125,503,0.648,0.461,0.294,0.592,0.933,High,,980.000,,690984,0.500,0.684,1.184,0.000,0.000,0.000,name_org,AAA_hitters_YTD_5_14.csv
Jose Franco,CIN,AAA,pitcher,SP,25,40,143,0.982,0.293,0.336,0.793,0.286,Medium,,694.000,,683742,0.500,0.670,1.170,0.000,0.000,0.000,name_org,AAA_pitchers_YTD_5_14.csv
Emiliano Teodo,TEX,AAA,pitcher,RP,25,79,344,0.824,0.338,0.352,0.618,0.688,High,,476.000,,693713,0.500,0.652,1.152,0.000,0.000,0.000,name_org,AAA_pitchers_YTD_5_14.csv
Jordan Yost,DET,A,hitter,SS,19,58,230,0.871,0.763,0.615,0.838,0.238,Low,,326.000,,803723,0.500,0.644,1.144,0.000,0.000,0.000,name_org,A_hitters_YTD_5_14.csv
Vaughn Grissom,LAA,AAA,hitter,2B,25,36,124,0.190,0.075,0.468,0.155,0.240,Low,,,,,1.800,-0.662,1.138,2.000,1.900,13.986,savant_only,AAA_hitters_YTD_5_14.csv
Victor Mesa Jr.,TBR,AAA,hitter,OF,24,69,289,0.801,0.767,0.958,0.791,0.488,Medium,,,,,0.000,1.134,1.134,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
Jackson Lovich,NYY,A,hitter,1B/3B/SS,22,116,452,0.619,0.878,0.899,0.696,0.400,Medium,,767.000,,804944,0.500,0.628,1.128,0.000,0.000,0.000,name_org,A_hitters_YTD_5_14.csv
Jhostynxon Garcia,PIT,AAA,hitter,OF,23,68,260,0.446,0.312,0.182,0.406,0.508,Medium,,103.000,,691373,1.500,-0.384,1.116,0.000,0.000,0.000,name_org,AAA_hitters_YTD_5_14.csv
Nick Schnell,SDP,AAA,hitter,OF,26,106,415,0.696,0.741,0.602,0.709,0.664,High,,,,,0.000,1.112,1.112,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
Jacob Melton,TBR,AAA,hitter,OF,25,81,342,0.798,0.660,0.514,0.757,0.540,Medium,,,,,0.000,1.109,1.109,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
Craig Yoho,MIL,AAA,pitcher,RP,26,33,131,0.854,0.233,0.246,0.805,0.246,Low,,566.000,,684974,0.500,0.601,1.101,0.000,0.000,0.000,name_org,AAA_pitchers_YTD_5_14.csv
Andrew Pintar,MIA,AAA,hitter,OF,25,146,579,0.693,0.520,0.343,0.641,0.973,High,,,,,0.000,1.096,1.096,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
Victor Robles,SEA,AAA,hitter,OF,28,34,149,0.006,0.063,0.110,0.023,0.186,Low,,,,,1.800,-0.709,1.091,2.000,1.300,4.895,savant_only,AAA_hitters_YTD_5_14.csv
Chad Stevens,COL,AAA,hitter,2B/3B,27,150,579,0.557,0.877,0.887,0.653,0.880,High,,,,,0.000,1.077,1.077,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
Ryan Gallagher,MIN,AAA,pitcher,SP,23,53,231,0.799,0.315,0.344,0.639,0.517,Medium,,587.000,,801594,0.500,0.574,1.074,0.000,0.000,0.000,name_org,AAA_pitchers_YTD_5_14.csv
Eric Cerantola,KCR,AAA,pitcher,RP,26,56,240,0.917,0.265,0.291,0.795,0.451,Medium,,,,,0.000,1.065,1.065,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Nelson Velázquez,STL,AAA,hitter,DH/OF,27,117,483,0.608,0.886,0.358,0.692,0.686,High,,,,,0.000,1.052,1.052,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
