"last_name, first_name","player_id","year","player_age","pa","home_run","k_percent","bb_percent","xba","xslg","woba","xwoba","xwobacon","avg_swing_speed","fast_swing_rate","attack_angle","ideal_angle_rate","vertical_swing_path","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_percent","meatball_swing_percent","iz_contact_percent","in_zone_percent","whiff_percent","swing_percent","pull_percent","groundballs_percent","flyballs_percent","linedrives_percent","popups_percent"
"Liberatore, Matthew",669461,2026,26,203,9,16.7,8.9,".296",".510",".365",".374",".419","72.6",29.5,9.9,53.6,31.5,"13.6",39.7,9.9,6.6,45,"81.616388533","95.448099067",67.4,11.6,27.8,41.3,58.7,51.4,70.2,88.4,48.6,20.6,47.1,44.4,37.7,32.5,25.8,4
"Soroka, Michael",647336,2026,28,185,4,25.4,6.5,".272",".456",".327",".343",".430","72.1",25.1,11.5,56.3,32.2,"14.1",39,10.6,4.1,38.2,"80.543571639","94.274774215",65.3,12.2,32.8,45.8,54.2,50.2,56.3,87.8,49.8,23.5,49,43.9,42.3,26.8,25.2,5.7
"Civale, Aaron",650644,2026,31,181,4,18.2,7.2,".263",".416",".327",".323",".366","72",27.6,12.1,55.9,30.9,"19.5",33.8,6,6,48.1,"81.673022879","94.809794242",59.7,11.5,29.3,34.6,65.4,51,60.4,88.5,49,19.3,44.2,46.6,30.1,33.8,28.6,7.5
"Irvin, Jake",663623,2026,29,194,6,23.2,10.3,".264",".488",".345",".372",".436","72.2",26.1,11.9,42.9,32.9,"14.1",35,13,10.6,48,"78.080807419","95.322596341",66.1,16.9,23.8,47.3,52.7,49.2,76.8,83.1,50.8,24.7,45.3,39.8,40.7,29.3,23.6,6.5
"Lugo, Seth",607625,2026,36,221,1,20.8,8.6,".281",".454",".325",".346",".405","71.9",29.1,11.6,54.9,33.5,"16.5",41.7,9.6,6.4,41.7,"81.678908182","94.616456797",66.6,14.3,25.9,30.7,69.3,45.8,68.5,85.7,54.2,18.4,47.9,36.5,38.5,25.6,29.5,6.4
"Cecconi, Slade",677944,2026,27,205,8,18.5,8.3,".279",".473",".370",".356",".400","72",25.5,10.7,48,31.3,"13.6",37.4,10.3,4.8,36.1,"75.397005694","93.869784583",66.5,13.3,27.9,37.5,62.5,51.8,67.3,86.7,48.2,20.8,46.5,36.1,44.2,25.2,23.8,6.8
"Chandler, Bubba",696149,2026,23,173,6,19.7,15.6,".226",".420",".334",".341",".354","71.6",19.4,9.3,53.9,30.1,"19.7",33.3,9,9.9,35.1,"79.163229636","93.777030459",67.2,16.6,30.5,36.1,63.9,52.3,75.9,83.4,47.7,23.1,48,35.1,32.4,32.4,22.5,12.6
"Harrison, Kyle",690986,2026,24,140,3,29.3,9.3,".231",".342",".301",".299",".368","71.6",23.6,5.3,41.8,31.4,"14.8",32.5,7.2,6,30.1,"76.88306775","93.600736",67.2,17.6,34.3,51.5,48.5,50.3,75.6,82.4,49.7,29.1,50.7,41,38.6,25.3,26.5,9.6
"Corbin, Patrick",571578,2026,36,147,3,15,6.8,".312",".500",".346",".381",".415","72.8",35.8,11.2,48.1,32.7,"14.6",42.3,9,6.3,41.4,"77.700886182","94.589073364",71.7,9.9,28.4,32.9,67.1,55.5,84.6,90.1,44.5,17.5,47.7,40.5,38.7,23.4,31.5,6.3
"Ryan, Joe",657746,2026,30,181,3,24.9,7.2,".218",".351",".272",".289",".342","72",25.2,10.4,57.2,31.8,"18.2",30.8,10,3.3,40.8,"79.457792833","94.545738403",67.5,19.1,30.7,35.7,64.3,49.1,72.9,80.9,50.9,24.2,49.5,49.2,39.2,27.5,21.7,11.7
"Skenes, Paul",694973,2026,24,185,4,30.3,3.8,".172",".273",".198",".218",".280","71.1",19.1,10,52.1,32.3,"14",31.4,4.2,5.1,28.8,"73.81595","92.696745862",71.5,20.7,35.2,36.2,63,52.8,79.5,79.3,47.2,26.2,52.4,39,45.8,21.2,22.9,10.2
"Glasnow, Tyler",607192,2026,32,148,5,33.1,8.8,".180",".324",".238",".252",".333","71.6",25.7,10.4,55.9,32,"14.3",30.2,8.1,9.3,38.4,"81.822428372","93.85257907",58.3,13.3,29.4,59.1,40.9,52.8,58.8,86.7,47.2,29.8,43.1,41.9,45.3,25.6,22.1,7
