Name,Team,POS,ADP,PA,rPTS,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Darell Hernaiz ","ATH","2B/3B/SS",999,69,61.2,102.338539440386,-102.93480354017505,0.40373590021069183,"Darell Hernaiz","26224",687231
"Rafael Devers ","SFG","1B/DH",61.619998931884766,176,171.1,105.394312026932,-105.9944605830389,0.3998514438933528,"Rafael Devers","17350",646240
"Andruw Monasterio ","BOS","1B/2B/3B/SS",999,63,55.6,102.316527519042,-102.93480354017505,0.3817239788671529,"Andruw Monasterio","19455",655316
"Scott Kingery ","CHC","2B/OF",999,4,3.5,102.887542648124,-103.65925471038116,0.22828793774253398,"Scott Kingery","17975",664068
"Nolan Gorman ","STL","1B/2B/3B/DH",653.1400146484375,156,143.2,102.870062598014,-103.65925471038116,0.21080788763249092,"Nolan Gorman","22263",669357
"Joey Loperfido ","HOU","OF",746.02001953125,66,66.2,104.397948886642,-105.19685214046616,0.20109674617554663,"Joey Loperfido","29630",694388
"Connor Joe ","SEA","1B/OF",999,30,32.7,104.292421145849,-105.19685214046616,0.09556900538257551,"Connor Joe","16572",656582
"Edmundo Sosa ","PHI","2B/3B/SS",999,67,58.1,102.003828756962,-102.93480354017505,0.06902521678708251,"Edmundo Sosa","17022",624641
"Vidal Bruján ","NYM","3B/SS/OF",999,4,0,101.958510093733,-102.93480354017505,0.02370655355796747,"Vidal Brujan","20536",660644
"Sung-Mun Song ","SDP","2B",999,14,11.9,102.676487169192,-103.65925471038116,0.017232458810940376,"Sung-Mun Song","37122",823550
"Bryson Stott ","PHI","2B/SS",181.44000244140625,139,124,101.922902578597,-102.93480354017505,-0.011900961578294345,"Bryson Stott","26294",681082
"Ha-Seong Kim ","ATL","2B/SS",748.3800048828125,7,2.6,101.916428479868,-102.93480354017505,-0.018375060306881963,"Ha-Seong Kim","27506",673490
"Jose Fernandez ","ARI","1B/3B/DH",999,114,112.2,104.89256970461,-105.95043673902461,-0.05786703441484997,"Jose Fernandez","28020",699912
"Jim Jarvis ","ATL","SS",999,5,0.6,101.873699456396,-102.93480354017505,-0.061104083779134566,"Jim Jarvis","33492",805347
"Jung Hoo Lee ","SFG","OF",339.44000244140625,175,165.3,104.098845726317,-105.19685214046616,-0.09800641414866118,"Jung Hoo Lee","33824",808982
"Gunnar Henderson ","BAL","SS/DH",12.510000228881836,198,177.9,101.829675620345,-102.93480354017505,-0.10512791983028458,"Gunnar Henderson","26289",683002
"Tyler Tolbert ","KCR","2B/SS/OF",999,5,-0.3,101.634805370981,-102.93480354017505,-0.29999816919387245,"Tyler Tolbert","25779",686475
"Starling Marte ","KCR","OF/DH",999,43,43.1,103.880021329442,-105.19685214046616,-0.3168308110236677,"Starling Marte","9241",516782
"Zach Dezenzo ","HOU","OF/DH",999,17,19,103.828875982401,-105.19685214046616,-0.36797615806521367,"Zach Dezenzo","31562",701305
"Brice Matthews ","HOU","2B/OF",740.969970703125,108,96.7,102.242722843704,-103.65925471038116,-0.41653186667707165,"Brice Matthews","33280",694728
"Anthony Volpe ","NYY","SS",641.989990234375,3,-3,101.406269836631,-102.93480354017505,-0.5285337035442439,"Anthony Volpe","27647",683011
"Nolan Schanuel ","LAA","1B",594.6599731445312,171,163,104.464632062934,-105.9944605830389,-0.5298285201047208,"Nolan Schanuel","33189",694384
"Miguel Rojas ","LAD","2B/3B/SS",999,70,58.5,101.377783823195,-102.93480354017505,-0.5570197169804427,"Miguel Rojas","7802",500743
"Jarred Kelenic ","CHW","OF",999,34,33.7,103.581565574744,-105.19685214046616,-0.6152865657220519,"Jarred Kelenic","22558",672284
"Dustin Harris ","CHW","OF",999,52,50.2,103.56796997697,-105.19685214046616,-0.6288821634963164,"Dustin Harris","25705",687957
"Brady House ","WSN","3B/DH",710.1199951171875,158,150.5,104.319612346706,-105.95043673902461,-0.6308243923185821,"Brady House","29993",691781
"Ryan Bliss ","SEA","2B",999,2,-2,101.915781070261,-103.65925471038116,-0.743473640120389,"Ryan Bliss","29547",669208
"Parker Meadows ","DET","OF",745.6900024414062,39,37.7,103.422950260742,-105.19685214046616,-0.7739018797244486,"Parker Meadows","23800",678009
"Jeremiah Jackson ","BAL","2B/3B/OF",999,135,119.8,101.784356957116,-103.65925471038116,-0.8748977532655031,"Jeremiah Jackson","22239",669236
"Will Smith ","LAD","C",95.69000244140625,136,128.5,103.849593088511,-105.85526754664158,-1.00567445813037,"Will Smith","19197",669257
"Jonathan India ","KCR","2B/3B/OF/DH",607.719970703125,58,48.5,101.652285427727,-103.65925471038116,-1.0069692826539867,"Jonathan India","21523",663697
"Elias Díaz ","KCR","C",999,20,21.6,103.786794368536,-105.85526754664158,-1.0684731781054935,"Elias Diaz","11680",553869
"Ryan Ritter ","COL","2B/SS",999,7,-1.4,100.854676989136,-102.93480354017505,-1.0801265510390525,"Ryan Ritter","31500",690022
"Jesus Rodriguez ","SFG","C",999,26,26.9,103.729174928075,-105.85526754664158,-1.1260926185668545,"Jesus Rodriguez","26991",683679
"Jake Meyers ","HOU","OF",738.1500244140625,43,39.9,103.030620136857,-105.19685214046616,-1.166232003609419,"Jake Meyers","20308",676694
"Will Benson ","CIN","OF",999,82,75.6,102.987891114712,-105.19685214046616,-1.2089610257544976,"Will Benson","21853",666181
"Tristan Peters ","CHW","OF",999,107,98.5,102.964584375481,-105.19685214046616,-1.2322677649856875,"Tristan Peters","30063",671976
"Richie Palacios ","TBR","2B/OF",999,76,64.1,101.399795744538,-103.65925471038116,-1.2594589658429887,"Richie Palacios","24589",680700
"Javier Sanoja ","MIA","2B/3B/SS/OF",999,92,75.8,100.600245079779,-102.93480354017505,-1.3345584603959346,"Javier Sanoja","28253",691594
"Dane Myers ","CIN","OF",999,65,59.4,102.837044713344,-105.19685214046616,-1.3598074271222163,"Dane Myers","22054",667472
"Randal Grichuk ","CHW","OF/DH",999,47,42.8,102.82409652385,-105.19685214046616,-1.3727556166162516,"Randal Grichuk","10243",545341
