Name,Team,POS,ADP,IP,rPTS,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Jordan Romano ","COL","RP",688.9600219726562,60,360,-37.39440727207465,38.46332491242405,1.7482423482445775,"Jordan Romano","16122",605447
"Paul Sewald ","ARI","RP",389.9100036621094,62,359.79999999999995,-37.41898009139304,38.46332491242405,1.7310413747217068,"Paul Sewald","13892",623149
"Robbie Ray ","SFG","SP",166.44000244140625,173,728.6000000000001,16.6361584158662,-16.088832072061916,1.670404983020274,"Robbie Ray","11486",592662
"Mark Leiter Jr. ","ATH","RP",727.989990234375,64,358.20000000000005,-37.61556264594003,38.46332491242405,1.5934335865388045,"Mark Leiter Jr.","15551",643410
"Andrew Nardi ","MIA","RP",999,60,357.5,-37.701567513554366,38.46332491242405,1.5332301792087761,"Andrew Nardi","25942",677053
"Brandon Sproat ","MIL","SP",528.2000122070312,96,405.3000000000002,16.51420749837059,-16.088832072061916,1.5210306587283207,"Brandon Sproat","33850",687075
"Taj Bradley ","MIN","SP",492.4599914550781,145,609.6,16.41533510712672,-16.088832072061916,1.399924586412668,"Taj Bradley","22543",671737
"Erik Sabrowski ","CLE","RP",999,63,355.70000000000005,-37.92272288741975,38.46332491242405,1.3784214175030065,"Erik Sabrowski","24978",681870
"Steven Okert ","HOU","RP",999,64,355.70000000000005,-37.92272288741975,38.46332491242405,1.3784214175030065,"Steven Okert","13580",595345
"Jimmy Herget ","COL","RP",999,77,355.4,-37.95958211639733,38.46332491242405,1.3526199572187037,"Jimmy Herget","17556",623474
"Ryne Nelson ","ARI","SP",251.42999267578125,164,687.9000000000003,16.264162458549844,-16.088832072061916,1.2147573675321006,"Ryne Nelson","26253",669194
