Name,Org,Pos,Age,PA,AB,Pitches,xwOBA,wOBA,PS Score,Agg,Contact Quality,Max Velo,xwOBA,xBA,xSLG,Barrels,BB%,Chase%,EV,Hard Hit%,K%,L°,Whiff%,Swing%,Z-Swing%,Z-Contact%,SwStr%,xBA,xSLG,Barrels,BB%,Chase%,EV,Hard Hit%,K%,L°,Whiff%,BA,OBP,SLG,BABIP,PA/Barrels,Barrels,BB,2B,3B,Hits,HR,K,Swings,Whiffs,Swing%,Z-Swing%,Z-Contact%,SwStr%
Marc Church,TEX,,24,93,85,356,.301,.270,0.9442379182156134,0.5149811287286526,0.5037174721189591,0.5004055150040552,0.5566914498141264,0.22676579925650558,0.3308550185873606,0.37825278810408924,0.845724907063197,0.8308550185873605,0.5046468401486989,0.8011152416356877,0.6617100371747212,0.06598513011152417,0.4767657992565056,0.9667477696674776,0.013011152416356878,0.25464684014869887,0.7611524163568774,.252,.377,6.5,7.5,30.939226519337016,87.8,30.6,25.8,21,26.9,.235,.290,.318,.311,4.3,4,7,4,0,20,1,24,197,53,0.5533710000000001,0.769663,0.868613,0.134831
Christian Scott,NYM,,26,164,152,688,.248,.282,0.9423791821561338,0.6710375103891234,0.5062732342007435,0.5004055150040552,0.9256505576208178,0.8763940520446096,0.7128252788104089,0.4312267657992565,0.8680297397769516,0.8717472118959108,0.48420074349442377,0.39684014869888473,0.9284386617100372,0.34851301115241634,0.70817843866171,0.7712895377128953,0.6133828996282528,0.6877323420074349,0.8271375464684015,.185,.315,6.2,7.3,31.68604651162791,87.9,37.1,33.5,15,30.3,.191,.250,.401,.218,3.7,6,12,2,0,29,10,55,340,103,0.49418599999999996,0.641304,0.817797,0.142442
Edgardo Henriquez,LAD,,23,61,51,250,.347,.339,0.9405204460966543,0.4376886875886279,0.24395910780669144,0.5004055150040552,0.17936802973977695,0.13382899628252787,0.25650557620817843,0.44609665427509293,0.16821561338289961,0.9237918215613383,0.11895910780669144,0.15427509293680297,0.8271375464684015,0.7304832713754646,0.8131970260223048,0.5255474452554745,0.6059479553903345,0.49907063197026025,0.8104089219330854,.264,.388,6.1,16.4,32.857142857142854,90,42.4,29.5,9,32.8,.275,.393,.353,.424,3.3,2,10,2,1,14,0,18,116,38,0.46215100000000003,0.641509,0.8382350000000001,0.139442
Simeon Woods Richardson,MIN,,25,59,53,229,.296,.341,0.9386617100371747,0.6411428387658274,0.8961431226765799,0.5004055150040552,0.6319702602230484,0.1496282527881041,0.7128252788104089,0.9656133828996283,0.7713754646840149,0.7304832713754646,0.9135687732342007,0.9925650557620818,0.3447955390334573,0.23048327137546468,0.75,0.7291159772911597,0.5808550185873605,0.8197026022304833,0.6672862453531598,.262,.315,0,8.5,29.464285714285715,84.7,17.1,20.3,17,31.3,.302,.373,.396,.390,0,0,5,5,0,16,0,12,112,35,0.489083,0.646018,0.794521,0.126638
Sem Robberse,STL,,24,348,315,1341,.286,.307,0.9368029739776952,0.6124873245155176,0.629182156133829,0.5004055150040552,0.7258364312267658,0.5473977695167286,0.4767657992565056,0.44609665427509293,0.8178438661710037,0.8773234200743495,0.7788104089219331,0.8150557620817844,0.4163568773234201,0.41356877323420077,0.5343866171003717,0.6285482562854826,0.5836431226765799,0.31226765799256506,0.6171003717472119,.225,.356,6.1,7.8,31.724137931034484,86.4,30.3,21.8,14,27.5,.241,.299,.410,.273,4.3,15,27,14,0,76,13,76,640,176,0.47501899999999997,0.645933,0.861728,0.123043
Angel Zerpa,KCR,,26,41,39,165,.255,.227,0.9349442379182156,0.6969823678860257,0.6902881040892194,0.5004055150040552,0.9061338289962825,0.28345724907063197,0.8345724907063197,0.9656133828996283,0.9730483271375465,0.9888475836431226,0.8345724907063197,0.12639405204460966,0.4340148698884758,0.8169144981412639,0.699814126394052,0.8994322789943228,0.21933085501858737,0.07713754646840149,0.929368029739777,.248,.282,0,4.9,37.77777777777778,86,43.3,22,7,30.2,.231,.268,.231,.300,0,0,2,0,0,9,0,9,86,26,0.515152,0.693333,0.9038459999999999,0.157576
Thomas Harrington,PIT,,24,178,164,647,.261,.256,0.9330855018587361,0.6056719589640925,0.6596189591078068,0.5004055150040552,0.8773234200743495,0.6654275092936803,0.5715613382899628,0.671003717472119,0.9786245353159851,0.8048327137546468,0.6700743494423792,0.7258364312267658,0.395910780669145,0.13011152416356878,0.27695167286245354,0.9010543390105434,0.1579925650557621,0.5111524163568774,0.5631970260223048,.214,.343,4.6,4.5,30.618892508143325,87,32.3,21.3,19,24,.207,.249,.341,.234,3.4,6,8,7,0,34,5,38,334,80,0.515432,0.706052,0.836735,0.118827
Chase Petty,CIN,,22,39,36,160,.287,.290,0.9312267657992565,0.5911893071673144,0.6484665427509293,0.5004055150040552,0.7184014869888475,0.40613382899628253,0.5111524163568774,0.32620817843866173,0.8252788104089219,0.983271375464684,0.8587360594795539,0.8977695167286245,0.2128252788104089,0.17657992565055763,0.6775092936802974,0.9562043795620438,0.0018587360594795538,0.7156133828996283,0.9163568773234201,.237,.351,6.9,7.7,35.483870967741936,85.7,27.6,17.9,18,29.9,.222,.282,.389,.276,5.1,2,3,4,1,8,0,7,87,26,0.5465840000000001,0.857143,0.814815,0.15528
Joe Boyle,TBR,,26,196,154,865,.261,.304,0.929368029739777,0.7059662588401769,0.795306691449814,0.5004055150040552,0.8773234200743495,0.9851301115241635,0.9814126394052045,0.9247211895910781,0.09386617100371747,0.46096654275092935,0.5046468401486989,0.7704460966542751,0.966542750929368,0.48977695167286245,0.9163568773234201,0.2554744525547445,0.6951672862453532,0.8661710037174721,0.8475836431226765,.141,.199,1.2,19.4,26.98744769874477,87.8,31.3,36.2,13,36.1,.169,.342,.312,.275,0.5,1,38,4,3,26,4,71,371,134,0.42658999999999997,0.625641,0.778688,0.144509
Carlos Rodriguez,MIL,,23,543,473,2141,.270,.292,0.9275092936802974,0.6319266058042413,0.7922862453531598,0.5004055150040552,0.8299256505576208,0.8262081784386617,0.8113382899628253,0.6217472118959108,0.4972118959107807,0.49814126394052044,0.8345724907063197,0.9014869888475836,0.5213754646840149,0.13011152416356878,0.6105947955390335,0.4655312246553122,0.4200743494423792,0.7769516728624535,0.5650557620817844,.194,.292,4.9,11.2,27.304048234280792,86,27.2,23.6,19,28.8,.201,.302,.349,.242,3.1,17,61,23,1,95,15,128,984,283,0.456664,0.667,0.806597,0.11929200000000001
Jack Dreyer,LAD,,26,174,165,675,.216,.286,0.9256505576208178,0.7322209056803256,0.7427973977695167,0.5004055150040552,0.9814126394052045,0.9070631970260223,0.8773234200743495,0.7053903345724907,0.9656133828996283,0.9553903345724907,0.6505576208178439,0.7379182156133829,0.8392193308550185,0.09014869888475836,0.5762081784386617,0.9651257096512572,0.026022304832713755,0.4795539033457249,0.7769516728624535,.175,.269,4.4,5.2,33.63636363636363,87.1,31.9,29.9,20,28.2,.236,.276,.382,.321,2.9,5,9,10,1,39,4,52,372,105,0.551111,0.751429,0.840304,0.136296
Zach Maxwell,CIN,,24,175,146,764,.286,.311,0.9237918215613383,0.5569575847385659,0.5975836431226766,0.5004055150040552,0.7258364312267658,0.8262081784386617,0.8271375464684015,0.8094795539033457,0.18308550185873607,0.12453531598513011,0.27137546468401486,0.48234200743494426,0.9089219330855018,0.23048327137546468,0.7936802973977695,0.2611516626115166,0.7007434944237918,0.7574349442379182,0.5724907063197026,.194,.285,3.4,16,22.137404580152673,88.8,36,32.6,17,32.4,.233,.360,.315,.375,1.7,3,28,5,2,34,1,57,327,106,0.42763999999999996,0.624324,0.809524,0.119948
