Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Bryan Woo","SEA",3,2,0,9,9,53,7.981132075471698,1.6981132075471699,1.0188679245283019,0.2534246575342466,0.64377682,0.302631578,0.075,95.7510450487013,3.9056603773584904,3.279020195342266,3.483656651119017,4.132772017874808,1.133398413658142,"Bryan Woo",30279,693433
"Jesús Luzardo","PHI",3,3,0,8,8,43.2,11.748092287258252,2.473282586791211,1.0305344111630046,0.38596491228070173,0.58928571,0.487179487,0.172413793,97.32576171875,5.770992702512825,3.2042496717088675,2.9459928077054003,2.3905606146807865,1.1126282215118408,"Jesus Luzardo",19959,666200
"Will Warren","NYY",5,1,0,9,9,47.1,11.218311064632692,2.281690386026988,1.140845193013494,0.30833333333333335,0.69327731,0.444444444,0.127659574,93.97908579192547,3.422535579040482,3.176944093250073,3.0851713977193955,2.8324283367371583,1.097558856010437,"Will Warren",30182,701542
"Carmen Mlodzinski","PIT",2,3,0,8,7,40,9.225000879764641,2.925000278949764,0.45000004291534834,0.36134453781512604,0.68181818,0.470588235,0.055555555,94.99963249044215,4.500000429153483,4.702957368827349,2.8312981343269326,3.445833230361707,1.057085558772087,"Carmen Mlodzinski",27572,669387
"Nick Martinez","TBR",4,1,0,8,8,47.2,5.853147165426356,1.8881119888472118,0.5664335966541635,0.25170068027210885,0.89958159,0.402684563,0.052631578,93.1865303147007,1.6993007899624906,3.834503712070653,3.379025447830909,4.2409951239683465,1.0439893007278442,"Nick Martinez",12730,607259
"Chase Burns","CIN",4,1,0,8,8,47,9.191489361702128,3.0638297872340425,1.148936170212766,0.23684210526315788,0.93596059,0.466101694,0.130434782,98.27964038944724,2.106382978723404,3.1147013728654054,3.744596032893404,3.460166049954739,1.029333472251892,"Chase Burns",35333,695505
"Sandy Alcantara","MIA",3,2,0,9,9,57.2,6.086705470739176,3.1213874208918853,0.624277484178377,0.2752808988764045,0.6871345,0.461111111,0.06060606,97.47610294117646,3.9017342761148566,3.462692238090031,3.7479166859585327,4.454261851410422,1.0199869871139526,"Sandy Alcantara",18684,645261
"Ryan Weathers","NYY",2,2,0,8,8,45,10.8,2.6,1.2,0.28703703703703703,0.79326923,0.442477876,0.146341463,96.17110450114679,3,4.210644960194227,3.306298160552979,2.853111408319738,0.9876670837402344,"Ryan Weathers",23796,677960
"Keider Montero","DET",2,2,0,7,7,39.2,6.579832354623,1.8151261667925518,0.6806723125472068,0.23478260869565218,0.68047337,0.307692307,0.046153846,94.54133768284575,3.1764707918869655,3.3159102254600015,3.2323485888024615,4.551530114074059,0.9813624620437622,"Keider Montero",22630,672456
"Tyler Glasnow","LAD",3,0,0,7,7,39.2,11.117647771604378,2.9495800210378964,1.1344538542453448,0.18518518518518517,0.80769231,0.453488372,0.147058823,95.61749871222527,2.7226892501888273,2.4693791409828503,3.257558674452358,2.8232222676859613,0.9768994450569153,"Tyler Glasnow",14374,607192
