Name,Org,Pos,Age,PA,AB,Pitches,xwOBA,wOBA,PS Score,Agg,Contact Quality,Max Velo,xwOBA,xBA,xSLG,Barrels,BB%,Chase%,EV,Hard Hit%,K%,L°,Whiff%,Swing%,Z-Swing%,Z-Contact%,SwStr%,xBA,xSLG,Barrels,BB%,Chase%,EV,Hard Hit%,K%,L°,Whiff%,BA,OBP,SLG,BABIP,PA/Barrels,Barrels,BB,2B,3B,Hits,HR,K,Swings,Whiffs,Swing%,Z-Swing%,Z-Contact%,SwStr%
Hayden Juenger,TOR,SP,25,60,54,267,.235,.328,0.949748743718593,0.6897100940056483,0.6777638190954773,0.6081794195250659,0.949748743718593,0.6331658291457286,0.8731155778894473,0.9547738693467337,0.8982412060301508,0.7788944723618091,0.33040201005025127,0.5527638190954773,0.6532663316582915,0.5012562814070352,0.542713567839196,0.8100263852242744,0.6130653266331658,0.8266331658291457,0.7236180904522613,.215,.260,0,6.7,30.555555555555557,89.6,37.5,26.7,12.4,28,.315,.350,.389,.425,0,0,4,4,0,17,0,16,132,37,49.43820224719101,62.26415094339622,74.74747474747474,13.857677902621724
Spencer Strider,ATL,SP,27,35,32,147,.252,.211,0.9472361809045227,0.7247655383337092,0.5562185929648241,0.854221635883905,0.914572864321608,0.8567839195979899,0.6871859296482412,0.5804020100502513,0.7562814070351759,0.964824120603015,0.1092964824120603,0.8479899497487438,0.992462311557789,0.1457286432160804,0.9874371859296482,0.8218997361477572,0.2562814070351759,0.8190954773869347,0.9974874371859297,.181,.313,5.9,8.6,37.5,91.6,29.4,42.9,18.5,43.8,.156,.229,.219,.294,2.8571428571428568,1,3,2,0,5,0,15,73,32,49.65986394557822,67.79661016949152,75,21.768707482993197
Carlos Lagrange,NYY,SP,22,145,122,615,.338,.346,0.9447236180904522,0.43446398659966495,0.16237437185929648,1,0.31532663316582915,0.5100502512562815,0.30778894472361806,0.0942211055276382,0.4020100502512563,0.3492462311557789,0.16959798994974876,0.07788944723618091,0.7952261306532663,0.3442211055276382,0.8479899497487438,0.29815303430079154,0.3844221105527638,0.8291457286432161,0.7788944723618091,.228,.403,12.7,13.1,24.64183381088825,90.8,50.6,30.3,15.2,34.2,.221,.338,.434,.288,6.896551724137932,10,19,8,0,27,6,44,260,89,42.27642276422765,65.41353383458647,74.71264367816093,14.471544715447154
Riley Cornelio,WSN,SP,25,125,108,572,.313,.321,0.9422110552763819,0.5195983214224155,0.23084170854271358,0.7816622691292876,0.5251256281407035,0.7311557788944724,0.2914572864321608,0.04773869346733668,0.47613065326633164,0.8819095477386935,0.16959798994974876,0.41457286432160806,0.9334170854271356,0.04396984924623116,0.9384422110552764,0.7071240105540897,0.20603015075376885,0.8994974874371859,0.9547738693467337,.204,.406,14.5,12,32.831325301204814,90.8,40.3,36,22.3,38.3,.204,.296,.435,.271,7.199999999999998,9,15,5,1,22,6,45,274,105,47.9020979020979,68.75,72.72727272727273,18.35664335664336
Ben Peoples,CHW,RP,25,77,68,298,.236,.249,0.9396984924623115,0.801189323928349,0.8451633165829145,0.854221635883905,0.9472361809045227,0.957286432160804,0.8881909547738693,0.6909547738693468,0.614321608040201,0.657035175879397,0.8982412060301508,0.9032663316582915,0.821608040201005,0.4949748743718593,0.8869346733668342,0.8852242744063324,0.4623115577889447,0.9195979899497487,0.9271356783919598,.154,.253,4.5,10.4,28.57142857142857,84.6,27.3,31.2,12.5,35.1,.176,.273,.250,.256,2.5974025974025974,2,8,2,0,12,1,24,151,53,50.67114093959732,63.97849462365591,71.42857142857143,17.78523489932886
José Fermin,LAA,RP,24,50,41,204,.302,.312,0.9371859296482412,0.7344680195171107,0.8514447236180904,0.8852242744063324,0.6092964824120602,0.5979899497487438,0.8479899497487438,0.7374371859296482,0.1884422110552764,0.678391959798995,0.9359296482412061,0.8844221105527639,0.8505025125628141,0.6155778894472361,0.9824120603015075,0.2862796833773087,0.7562814070351759,0.8793969849246231,0.9447236180904522,.218,.272,4,18,28.947368421052637,84.2,28,32,10.7,43,.220,.360,.293,.360,2,1,9,3,0,9,0,16,86,37,42.15686274509804,58.88888888888889,73.58490566037736,18.137254901960784
Jonah Tong,NYM,SP,22,153,129,653,.313,.303,0.9346733668341709,0.5168426786527184,0.2914572864321608,0.8126649076517151,0.5251256281407035,0.6922110552763819,0.46733668341708545,0.20854271356783918,0.36683417085427134,0.4824120603015075,0.3128140703517588,0.1771356783919598,0.8982412060301508,0.5665829145728644,0.6922110552763819,0.4129287598944591,0.4547738693467337,0.5402010050251256,0.6557788944723618,.207,.360,10.3,13.7,26.42045454545455,89.7,46.2,34,11.3,30.4,.178,.301,.364,.236,5.2287581699346415,8,21,6,0,23,6,52,286,87,43.797856049004594,64.11960132890366,80.82901554404145,13.32312404287902
Will Sanders,CHC,SP,24,75,66,281,.339,.455,0.9321608040201005,0.4442261328630841,0.26444723618090454,0.4802110817941953,0.30778894472361806,0.2600502512562814,0.25753768844221103,0.2964824120603015,0.47613065326633164,0.957286432160804,0.3706030150753769,0.13316582914572864,0.6532663316582915,0.27889447236180903,0.8592964824120602,0.8970976253298153,0.5979899497487438,0.9396984924623115,0.9296482412060302,.256,.417,8.7,12,36.97478991596639,89.3,47.8,26.7,16.1,34.5,.348,.427,.621,.452,5.333333333333334,4,9,6,0,23,4,20,145,50,51.60142348754449,62.34567901234568,70.29702970297029,17.793594306049823
Hancel Rincon,STL,SP,24,90,78,363,.315,.390,0.9296482412060302,0.6170460371337779,0.5012562814070352,0.737467018469657,0.49246231155778897,0.6419597989949749,0.30778894472361806,0.4082914572864322,0.4610552763819096,0.9334170854271356,0.7035175879396985,0.585427135678392,0.7223618090452262,0.7625628140703518,0.6482412060301508,0.7506596306068601,0.3065326633165829,0.21608040201005024,0.7663316582914573,.214,.403,7.4,12.2,34.78260869565217,87.3,37,27.8,7.6,29.5,.295,.378,.513,.380,4.4444444444444455,4,11,3,1,23,4,25,176,52,48.48484848484848,66.66666666666666,85.57692307692307,14.325068870523415
Nestor German,BAL,SP,24,157,136,630,.270,.298,0.9271356783919598,0.6499900005745526,0.7047738693467337,0.5448548812664907,0.8479899497487438,0.6708542713567839,0.8241206030150754,0.907035175879397,0.5087939698492462,0.457286432160804,0.4648241206030151,0.6231155778894473,0.7814070351758794,0.5163316582914573,0.6532663316582915,0.4947229551451187,0.27638190954773867,0.45979899497487436,0.6608040201005025,.210,.277,1.1,11.5,26.099706744868037,88.8,36.3,29.9,12.1,29.6,.235,.327,.316,.348,0.6369426751592357,1,18,8,0,32,1,47,284,84,45.07936507936508,67.47404844290658,82.05128205128204,13.333333333333336
Christian Scott,NYM,SP,26,58,54,223,.267,.340,0.9246231155778895,0.6968519488382987,0.6089824120603015,0.7981530343007915,0.8605527638190955,0.75,0.5087939698492462,0.6180904522613065,0.9962311557788944,0.9824120603015075,0.7814070351758794,0.5276381909547738,0.7675879396984925,0.05025125628140704,0.7211055276381909,0.9736147757255936,0.007537688442211055,0.5113065326633166,0.9221105527638191,.200,.349,5.4,3.4,38.655462184873954,86.6,37.8,29.3,22,31,.241,.293,.481,.294,3.4482758620689653,2,2,4,0,13,3,17,126,39,56.502242152466366,76.92307692307693,81.25,17.488789237668158
