Name,OttoneuID,"FG MajorLeagueID","FG MinorLeagueID","MLB Org",Position(s),"Avg Salary","Median Salary","Min Salary","Max Salary","Last 10",Roster%
"Vinnie Pasquantino",37094,27676,sa1115762,KCR,1B,$15.03,$15.00,$7,$27,$16.80,100
"Michael Harris II",37295,25931,sa3010684,ATL,OF,$14.70,$15.00,$5,$28,$13.30,100
"CJ Abrams",36922,25768,sa3010152,WSN,SS,$14.37,$14.00,$7,$23,$15.90,100
"Yandy Diaz",18517,16578,sa823741,TBR,1B,$14.31,$14.00,$6,$26,$12.70,100
"Jesus Luzardo",23741,19959,sa917981,PHI,SP,$14.29,$14.00,$1,$29,$18.20,100
"Roman Anthony",42409,31812,sa3020211,BOS,OF,$14.08,$12.00,$4,$64,$37.90,100
"Tatsuya Imai",48241,37124,sa3062955,"HOU AAA",SP/RP,$14.07,$14.00,$5,$25,$10.50,74.126
"Josh Hader",18391,14212,sa658473,HOU,RP,$13.85,$14.00,$3,$29,$11.80,97.902
"Jackson Holliday",42126,31781,sa3020241,BAL,2B/SS,$13.82,$14.00,$6,$28,$13.40,100
"Devin Williams",19268,15816,sa737560,NYM,RP,$13.74,$13.00,$6,$26,$11.00,97.203
"Steven Kwan",35824,24610,sa3008536,CLE,OF,$13.73,$13.00,$6,$26,$11.50,96.503
"Munetaka Murakami",48240,37120,sa3063258,CHW,1B/3B,$13.67,$13.00,$1,$29,$11.40,100
"Michael King",31751,19853,sa874220,SDP,SP,$13.27,$13.00,$7,$23,$13.80,100
"Pete Crow-Armstrong",38327,27769,sa3014458,CHC,OF,$13.20,$12.00,$6,$31,$22.30,100
"Josh Naylor",22655,18839,sa874243,SEA,1B,$13.19,$13.00,$9,$20,$11.70,100
"Jhoan Duran",22559,21029,sa873347,PHI,RP,$13.17,$13.00,$9,$24,$16.40,100
"Taylor Ward",22048,17548,sa858832,BAL,OF,$13.04,$13.00,$4,$25,$13.80,100
"Isaac Paredes",23831,20036,sa920275,HOU,3B,$12.59,$13.00,$4,$20,$10.20,100
