Name,Org,Pos,Age,PA,AB,Pitches,xwOBA,wOBA,PS Score,Agg,Contact Quality,Max Velo,xwOBA,xBA,xSLG,Barrels,BB%,Chase%,EV,Hard Hit%,K%,L°,Whiff%,Swing%,Z-Swing%,Z-Contact%,SwStr%,xBA,xSLG,Barrels,BB%,Chase%,EV,Hard Hit%,K%,L°,Whiff%,BA,OBP,SLG,BABIP,PA/Barrels,Barrels,BB,2B,3B,Hits,HR,K,Swings,Whiffs,Swing%,Z-Swing%,Z-Contact%,SwStr%
Dameivi Tineo,MIA,SP,22,49,39,213,.288,.279,0.8113207547169812,0.6018343815513626,0.5558176100628931,0.8226415094339623,0.5723270440251572,0.7232704402515723,0.7295597484276729,0.16037735849056603,0.1320754716981132,0.3018867924528302,0.6320754716981132,0.7012578616352201,0.9056603773584906,0.6792452830188679,0.8616352201257862,0.4566037735849057,0.8490566037735849,0.9025157232704403,0.8238993710691824,.171,.249,10.5,20.4,22.666666666666664,86.5,31.6,40.8,6.7,38.9,.154,.327,.231,.278,4.081632653061225,2,10,0,0,6,1,20,95,37,44.600938967136145,56.52173913043478,69.23076923076923,17.370892018779344
Manuel Genao,MIA,SP,20,100,87,361,.341,.367,0.8050314465408805,0.47641509433962265,0.43003144654088055,0.7264150943396226,0.22955974842767296,0.20754716981132076,0.22641509433962265,0.330188679245283,0.7452830188679245,0.779874213836478,0.7547169811320755,0.4088050314465409,0.16352201257861634,0.660377358490566,0.48427672955974843,0.7584905660377359,0.2358490566037736,0.24528301886792453,0.6729559748427673,.250,.381,7.2,9,30.726256983240226,85.5,37.7,19,7.1,29.8,.299,.380,.437,.348,5,5,9,3,0,26,3,19,181,54,50.13850415512464,69.23076923076923,81.74603174603175,14.958448753462605
Emilio Obispo,NYM,SP,19,38,32,150,.282,.278,0.7987421383647799,0.48805031446540875,0.6517295597484276,0.7528301886792453,0.6163522012578616,0.29245283018867924,0.4937106918238994,0.8962264150943396,0.6320754716981132,0.03773584905660377,0.3522012578616352,0.8647798742138365,0.24213836477987422,0.39308176100628933,0.2830188679245283,0.20943396226415092,0.25157232704402516,0.330188679245283,0.22641509433962265,.231,.308,0,10.5,15.853658536585364,88.4,26.9,21.1,12.7,26.7,.219,.297,.313,.280,0,0,4,3,0,7,0,8,60,16,40,69.11764705882352,80.85106382978722,10.666666666666668
Mac Heuer,NYY,SP,21,26,22,111,.365,.308,0.7924528301886793,0.40414046121593294,0.30424528301886794,0.7773584905660378,0.09119496855345911,0.0660377358490566,0.14150943396226415,0.4276729559748428,0.36792452830188677,0.8427672955974843,0.23270440251572327,0.41509433962264153,0.32075471698113206,0.5911949685534591,0.5754716981132075,0.6754716981132075,0.46540880503144655,0.7169811320754716,0.6981132075471698,.288,.413,6.2,15.4,32.142857142857146,89.2,37.5,23.1,8.9,31.5,.182,.308,.364,.200,3.8461538461538463,1,4,1,0,4,1,6,54,17,48.64864864864865,65.45454545454545,75,15.315315315315313
Jeter Martinez,PIT,SP,20,85,69,347,.295,.317,0.7861635220125787,0.4860062893081762,0.5479559748427673,0.4735849056603774,0.5125786163522013,0.49056603773584906,0.5314465408805031,0.44654088050314467,0.29245283018867924,0.37735849056603776,0.5377358490566038,0.6761006289308176,0.46855345911949686,0.36163522012578614,0.6635220125786163,0.18867924528301888,0.6918238993710691,0.37735849056603776,0.4276729559748428,.206,.298,6.1,16.5,23.737373737373733,87,32.7,25.9,13.2,33.3,.232,.353,.333,.327,3.5294117647058822,3,14,7,0,16,0,22,138,46,39.769452449567716,61.073825503355714,80.21978021978022,13.25648414985591
Cody Bowker,PHI,SP,22,70,58,286,.308,.336,0.779874213836478,0.4622117400419287,0.29795597484276726,0.43018867924528303,0.41823899371069184,0.8301886792452831,0.15723270440251572,0.018867924528301886,0.5440251572327044,0.33962264150943394,0.7452830188679245,0.27044025157232704,0.949685534591195,0.12578616352201258,0.7169811320754716,0.4830188679245283,0.5974842767295597,0.8207547169811321,0.7295597484276729,.149,.406,22.2,11.4,23.4375,85.6,40.7,44.3,17.9,34.9,.172,.300,.466,.250,8.571428571428571,6,8,3,1,10,4,31,129,45,45.10489510489511,62.65822784810127,72.72727272727273,15.734265734265735
Christian Rodriguez,NYM,RP,21,49,44,164,.278,.296,0.7735849056603774,0.590461215932914,0.5558176100628931,0.6547169811320754,0.6540880503144654,0.3836477987421384,0.4937106918238994,0.6540880503144654,0.9654088050314465,0.6194968553459119,0.5251572327044025,0.550314465408805,0.4119496855345912,0.779874213836478,0.39308176100628933,0.7962264150943397,0.06918238993710692,0.6792452830188679,0.6477987421383647,.218,.308,3.1,4.1,27.500000000000004,87.1,34.4,24.5,4.3,28.6,.227,.306,.341,.313,2.0408163265306123,1,2,3,1,10,0,12,84,24,51.21951219512196,73.80952380952381,75.80645161290323,14.634146341463413
Cade Crossland,STL,SP,22,116,90,488,.312,.318,0.7672955974842768,0.5406184486373165,0.6375786163522013,0.6037735849056604,0.3805031446540881,0.6886792452830188,0.559748427672956,0.5062893081761006,0.15723270440251572,0.6540880503144654,0.8081761006289309,0.6761006289308176,0.6855345911949685,0.09433962264150944,0.6729559748427673,0.3962264150943397,0.4056603773584906,0.4528301886792453,0.6635220125786163,.178,.294,5.5,19.8,27.986348122866893,85.1,32.7,31,20.2,34,.189,.362,.300,.283,2.586206896551724,3,23,4,0,17,2,36,212,72,43.442622950819676,66.66666666666666,79.23076923076924,14.754098360655734
Marty Gair,PHI,RP,22,38,32,166,.275,.245,0.7610062893081762,0.5387840670859538,0.22169811320754718,0.981132075471698,0.6729559748427673,0.8584905660377359,0.44654088050314467,0.050314465408805034,0.34591194968553457,0.4025157232704403,0.32075471698113206,0.06918238993710692,0.9811320754716981,0.36163522012578614,0.9748427672955975,0.5471698113207547,0.13836477987421383,0.9811320754716981,0.9622641509433962,.144,.321,14.3,15.8,24.13793103448276,88.6,50,47.4,13.2,45.5,.094,.237,.281,.083,5.263157894736842,2,6,0,0,3,2,18,77,35,46.38554216867471,70.88607594936707,60.71428571428571,21.084337349397593
Karson Ligon,TOR,SP,23,25,19,100,.265,.330,0.7547169811320755,0.6451781970649896,0.8121069182389937,0.8679245283018868,0.7358490566037735,0.949685534591195,0.9339622641509434,0.8962264150943396,0.14465408805031446,0.09433962264150944,0.6477987421383647,0.7704402515723271,0.8301886792452831,0.0440251572327044,0.8270440251572327,0.20943396226415092,0.3050314465408805,0.9559748427672956,0.6792452830188679,.123,.166,0,20,17.857142857142858,86.4,30,36,25.2,37.5,.211,.400,.263,.400,0,0,5,1,0,4,0,9,40,15,40,68.18181818181817,66.66666666666666,15
Richie Cortese,PHI,RP,23,41,32,175,.239,.221,0.7484276729559748,0.7814465408805032,0.9473270440251572,0.5849056603773585,0.8553459119496856,0.9748427672955975,0.9748427672955975,0.8962264150943396,0.18553459119496854,0.5943396226415094,0.9685534591194969,0.949685534591195,0.9371069182389937,0.4748427672955975,0.9811320754716981,0.2641509433962264,0.7924528301886793,0.940251572327044,0.9119496855345912,.108,.137,0,19.5,27.08333333333333,81.3,21.4,43.9,11.2,47.2,.094,.293,.094,.214,0,0,8,0,0,3,0,18,72,34,41.14285714285714,58.22784810126582,67.3913043478261,19.428571428571427
Jovi Gálvez,STL,RP,21,46,32,195,.359,.344,0.7421383647798742,0.5177148846960168,0.5275157232704402,0.9547169811320756,0.11320754716981132,0.5251572327044025,0.710691823899371,0.8962264150943396,0.1761006289308176,0.46855345911949686,0.19811320754716982,0.3050314465408805,0.37735849056603776,0.7547169811320755,0.7327044025157232,0.2566037735849057,0.8805031446540881,0.8490566037735849,0.6163522012578616,.199,.258,0,19.6,25,89.8,40,23.9,4.8,35,.188,.435,.219,.286,0,0,9,1,0,6,0,11,80,28,41.02564102564102,55.33980582524271,71.9298245614035,14.358974358974356
