Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Matt Chapman","SFG",42,176,1,16,14,0,0.09090909,0.238636363,0.082278481,0.304347826,0.227848101,0.306818181,0.310126582,0.2849522131410512,0.2619068540375808,81.29332290766001,-0.7465242445468903,-4.55789003979141,2.114301860332489,0.3231988172495293,"Matt Chapman",16505,656305
"Nick Fortes","TBR",34,108,1,7,8,0,0.018518518,0.148148148,0.077669902,0.325581395,0.281553398,0.314814814,0.3592233,0.30414921873145634,0.29216974752920644,89.61286920601675,-0.9949625730514526,-2.30899372970996,1.6745834350585938,0.32246659887098894,"Nick Fortes",21538,663743
"Jose Altuve","HOU",40,177,3,26,11,1,0.107344632,0.186440677,0.122580645,0.3,0.251612903,0.335227272,0.374193548,0.3196987438201904,0.321941664052564,101.53325116793826,-0.4105614423751831,-0.09267436200829393,-2.9581778049468994,0.3214473862393651,"Jose Altuve",5417,514888
"Gary Sánchez","MIL",28,99,5,13,14,0,0.181818181,0.222222222,0.2375,0.207547169,0.2,0.353535353,0.4375,0.356353187801862,0.3557460162104393,128.3076058592192,-0.14596937783062458,3.0982457814835147,-3.1163481920957565,0.32143851468928386,"Gary Sanchez",11442,596142
"Darell Hernaiz","ATH",27,69,1,7,5,2,0.115942028,0.188405797,0.05,0.304347826,0.25,0.338235294,0.3,0.2992434238686281,0.2542331919950597,84.38677120649686,0.3650190904736519,-0.896890153135363,1.5935483872890472,0.31946562771500675,"Darell Hernaiz",26224,687231
"Roman Anthony","BOS",30,130,1,12,5,2,0.153846153,0.253846153,0.091743119,0.32,0.229357798,0.353846153,0.321100917,0.31375821108041807,0.35303768515586853,92.79904409365354,0.8216174840927124,-0.27491073061174176,-1.2007814049720764,0.31485069648924546,"Roman Anthony",31812,701350
"Keibert Ruiz","WSN",27,85,3,9,15,0,0.011764705,0.164705882,0.207317073,0.212121212,0.207317073,0.223529411,0.414634146,0.275010371909422,0.22187526927274817,72.12170188344216,-0.015282507985830307,-2.7584763566495596,3.0880430042743683,0.31151056989047343,"Keibert Ruiz",19610,660688
"Jake Bauers","MIL",36,142,6,24,21,3,0.105633802,0.218309859,0.204724409,0.311111111,0.267716535,0.345070422,0.472440944,0.3545731640548157,0.3319658196490744,127.09431184224447,0.3439178913831711,4.797790428260305,-6.2829108238220215,0.31083731472125664,"Jake Bauers",15194,641343
"Jacob Young","WSN",41,154,3,19,17,2,0.051948051,0.175324675,0.097902098,0.256637168,0.223776223,0.274509803,0.321678321,0.27075303457920846,0.29681537025853205,69.21982941148063,0.8206168413162231,-4.666738164442553,2.756890296936035,0.30630095835240856,"Jacob Young",29931,696285
"Miguel Rojas","LAD",27,70,1,5,5,0,0.057142857,0.114285714,0.09375,0.285714285,0.265625,0.304347826,0.359375,0.2967000517292299,0.31407867652782495,87.39932468942362,-1.3530313223600388,-2.3741193301051995,3.1232511401176453,0.3057184475756074,"Miguel Rojas",7802,500743
"Gabriel Moreno","ARI",23,82,1,8,9,1,0.060975609,0.231707317,0.121621621,0.267857142,0.216216216,0.268292682,0.337837837,0.27015855544950906,0.3245466511423995,67.80106830030793,-0.06341610848903656,-3.1199318011037978,3.471736788749695,0.30400291048824174,"Gabriel Moreno",22664,672515
"Ernie Clement","TOR",42,176,2,15,12,1,0.02840909,0.079545454,0.111764705,0.309677419,0.294117647,0.3125,0.405882352,0.3176823928952217,0.2900644792829241,100.20306616321658,-1.0900636166334152,-1.0482000199159076,-2.148877799510956,0.3028033384499643,"Ernie Clement",20352,676391
"Miguel Andujar","SDP",31,114,3,10,12,1,0.026315789,0.192982456,0.190909091,0.34117647,0.29090909,0.315789473,0.481818181,0.34868188489947405,0.2933167574698465,126.09019231439014,-0.908250093460083,2.534880112129092,-3.230272591114044,0.30069858775310093,"Miguel Andujar",15878,609280
"Tristan Gray","MIN",21,72,3,8,14,0,0.041666666,0.347222222,0.151515151,0.333333333,0.242424242,0.28169014,0.393939393,0.2989143410199125,0.3002873011997768,86.20974370824518,-0.2981009930372238,-1.4611315921556598,1.8591370284557343,0.2994917607336156,"Tristan Gray",19877,656484
"Alex Call","LAD",19,52,0,8,5,0,0.173076923,0.115384615,0.097560976,0.333333333,0.292682926,0.423076923,0.390243902,0.3733952652949553,0.31338948469895583,139.67606757238096,-0.3347935378551483,2.0535856575828952,-0.8358171284198761,0.29518106953632883,"Alex Call",19296,669743
"Dominic Canzone","SEA",37,99,4,12,18,1,0.09090909,0.232323232,0.218390804,0.29032258,0.252873563,0.323232323,0.471264367,0.3467809250860503,0.36242679634479563,125.68425494859011,-0.1329129934310913,2.845524387251652,-3.4923824667930603,0.28887035614967005,"Dominic Canzone",26438,686527
"Trent Grisham","NYY",43,167,6,25,26,2,0.16766467,0.16766467,0.189781022,0.171428571,0.175182481,0.311377245,0.364963503,0.30845770043527293,0.35322751256520163,94.50926003012238,-0.49899522960186005,-1.5730678726114298,-1.4802300333976746,0.2852902948670349,"Trent Grisham",18564,663757
"Nolan Schanuel","LAA",40,171,3,14,20,0,0.064327485,0.16374269,0.121019109,0.296875,0.261146496,0.30994152,0.382165605,0.30886471724649617,0.303783439056218,92.49590393579543,-0.29950082302093506,-1.8025763458597863,-1.399339199066162,0.2843526535779437,"Nolan Schanuel",33189,694384
"Curtis Mead","WSN",32,104,4,16,15,3,0.134615384,0.163461538,0.215909091,0.23880597,0.227272727,0.346153846,0.443181818,0.3537456857470366,0.376616147848276,125.78901130126681,0.5319054424762726,3.636746311622221,-4.334605932235718,0.26778782406442125,"Curtis Mead",23986,678554
"J.T. Realmuto","PHI",26,96,1,8,8,0,0.052083333,0.15625,0.079545454,0.260273972,0.227272727,0.28125,0.306818181,0.26806579157710075,0.2857017119725545,65.74258614597873,0.043124571442604065,-3.7640003027082676,3.306524783372879,0.26640926382068664,"J.T. Realmuto",11739,592663
